Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
1,Keith Acton,29,TOT,C,72,11,17,28,-19,95,0.5,9,1,1,1,17,0,0,75,14.7,,,actonke01
1,Keith Acton,29,MNS,C,46,8,11,19,-9,74,0.7,7,0,1,0,11,0,0,49,16.3,,,actonke01
1,Keith Acton,29,EDM,C,26,3,6,9,-10,21,-0.2,2,1,0,1,6,0,0,26,11.5,,,actonke01
2,Greg Adams,24,VAN,C,80,36,40,76,-24,30,5.9,24,12,0,3,24,16,0,227,15.9,,,adamsgr02
3,Greg Adams,27,WSH,LW,78,15,12,27,-3,153,1.3,12,3,0,0,8,4,0,109,13.8,,,adamsgr01
4,Jim Agnew,21,VAN,D,10,0,1,1,1,16,0.4,0,0,0,0,1,0,0,4,0.0,,,agnewji01
5,Brad Aitken,20,PIT,LW,5,1,1,2,1,0,0.1,1,0,0,0,1,0,0,4,25.0,,,aitkebr01
6,Tommy Albelin,23,QUE,D,60,3,23,26,-7,47,3.7,3,0,0,0,10,13,0,98,3.1,,,albelto01
7,Mike Allison,26,TOT,C,52,16,15,31,3,67,2.2,10,5,1,2,10,5,0,61,26.2,,,allismi01
7,Mike Allison,26,LAK,C,37,16,12,28,3,57,2.4,10,5,1,2,7,5,0,54,29.6,,,allismi01
7,Mike Allison,26,TOR,LW,15,0,3,3,0,10,-0.2,0,0,0,0,3,0,0,7,0.0,,,allismi01
8,Glenn Anderson*,27,EDM,LW,80,38,50,88,5,58,6.9,21,16,1,3,35,15,0,255,14.9,,,andergl01
9,John Anderson,30,HAR,LW,63,17,32,49,-5,20,3.5,8,9,0,3,15,17,0,149,11.4,,,anderjo01
10,Perry Anderson,26,NJD,LW,60,4,6,10,-8,222,-0.7,3,1,0,0,6,0,0,40,10.0,,,anderpe01
11,Shawn Anderson,19,BUF,D,23,1,2,3,-3,17,0.7,0,1,0,0,1,1,0,29,3.4,,,andersh01
12,Mikael Andersson,21,BUF,LW,37,3,20,23,7,10,1.2,2,0,1,1,17,1,2,34,8.8,,,andermi01
13,Dave Andreychuk*,24,BUF,LW,80,30,48,78,1,112,5.9,15,15,0,5,34,14,0,253,11.9,,,andreda01
14,Dave Archibald,18,MNS,C,78,13,20,33,-17,26,1.1,10,3,0,2,14,6,0,96,13.5,,,archida01
15,Scott Arniel,25,BUF,LW,73,17,23,40,8,61,2.5,14,0,3,2,21,1,1,111,15.3,,,arniesc01
16,Brent Ashton,27,DET,LW,73,26,27,53,10,50,4.1,17,7,2,3,18,7,2,161,16.1,,,ashtobr01
17,Warren Babe,19,MNS,LW,6,0,1,1,-1,4,-0.1,0,0,0,0,1,0,0,2,0.0,,,babewa01
18,Dave Babych,26,HAR,D,71,14,36,50,-25,54,6.7,4,10,0,2,8,27,1,233,6.0,,,babycda01
19,Joel Baillargeon,23,WIN,LW,4,0,1,1,0,12,0.0,0,0,0,0,1,0,0,3,0.0,,,bailljo01
20,Peter Bakovic,23,VAN,RW,10,2,0,2,-1,48,0.0,2,0,0,0,0,0,0,7,28.6,,,bakovpe01
