Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
527,Craig Simpson,18,PIT,C,76,11,17,28,2,47,0.9,8,2,1,0,11,6,0,74,14.9,,,simpscr01
528,Ilkka Sinisalo,27,PHI,LW,74,39,37,76,16,31,6.3,19,19,1,7,24,13,0,184,21.2,,,sinisil01
529,Ville Sirén,21,PIT,D,60,4,8,12,-8,32,2.7,3,1,0,0,6,2,0,58,6.9,,,sirenvi01
530,Petri Skriko,23,VAN,LW,80,38,40,78,-18,34,5.9,25,12,1,2,22,14,4,191,19.9,,,skrikpe01
531,Brian Skrudland,22,MTL,C,65,9,13,22,2,57,0.6,7,0,2,0,13,0,0,62,14.5,,,skrudbr01
532,Louis Sleigher,27,BOS,RW,13,4,2,6,-4,20,0.2,4,0,0,1,1,1,0,18,22.2,,,sleiglo01
533,Doug Smail,28,WIN,LW,73,16,26,42,-10,32,2.0,12,1,3,4,20,3,3,150,10.7,,,smaildo01
534,Bobby Smith,27,MTL,C,79,31,55,86,10,57,6.4,26,5,0,7,38,17,0,202,15.3,,,smithbo01
535,Brad Smith,27,TOR,RW,42,5,17,22,-9,84,0.5,5,0,0,0,14,3,0,46,10.9,,,smithbr03
536,Derrick Smith,21,PHI,LW,69,6,6,12,14,57,-0.2,6,0,0,2,6,0,0,107,5.6,,,smithde04
537,Doug Smith,22,TOT,C,78,18,20,38,-27,129,1.3,12,4,2,3,15,4,1,187,9.6,,,smithdo03
537,Doug Smith,22,LAK,C,48,8,9,17,-29,56,-0.2,6,1,1,0,8,1,0,115,7.0,,,smithdo03
537,Doug Smith,22,BUF,C,30,10,11,21,2,73,1.5,6,3,1,3,7,3,1,72,13.9,,,smithdo03
538,Greg Smith,30,TOT,D,76,5,22,27,-6,94,4.2,5,0,0,0,18,4,0,59,8.5,,,smithgr01
538,Greg Smith,30,DET,D,62,5,19,24,-9,84,3.3,5,0,0,0,16,3,0,53,9.4,,,smithgr01
538,Greg Smith,30,WSH,D,14,0,3,3,3,10,0.9,0,0,0,0,2,1,0,6,0.0,,,smithgr01
539,Randy Smith,20,MNS,C,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,smithra01
540,Steve Smith,22,EDM,D,55,4,20,24,28,166,3.6,3,1,0,1,15,4,1,74,5.4,,,smithst05
541,Steve Smith,22,PHI,D,2,0,0,0,0,2,0.1,0,0,0,0,0,0,0,1,0.0,,,smithst04
542,Stan Smyl,28,VAN,RW,73,27,35,62,-21,144,4.1,20,3,4,1,23,10,2,165,16.4,,,smylst01
543,Harold Snepsts,31,DET,D,35,0,6,6,-7,75,1.0,0,0,0,0,6,0,0,12,0.0,,,snepsha01
544,Ken Solheim,24,EDM,LW,6,1,0,1,-2,5,-0.1,1,0,0,0,0,0,0,8,12.5,,,solheke01
545,Ted Speers,25,DET,C,4,1,1,2,2,0,0.2,1,0,0,0,1,0,0,6,16.7,,,speerte01
546,Daryl Stanley,23,PHI,D,33,0,2,2,-5,69,1.1,0,0,0,0,2,0,0,7,0.0,,,stanlda01
547,Anton Šťastný,26,QUE,RW,74,31,43,74,6,19,5.4,23,8,0,4,29,14,0,163,19.0,,,stastan01
548,Marián Šťastný,33,TOR,RW,70,23,30,53,-8,21,3.2,16,7,0,0,24,6,0,132,17.4,,,stastma01
549,Peter Šťastný*,29,QUE,C,76,41,81,122,2,60,9.2,26,15,0,8,41,40,0,207,19.8,,,stastpe01
550,Ray Staszak,23,DET,RW,4,0,1,1,-3,7,-0.1,0,0,0,0,1,0,0,9,0.0,,,staszra01
551,Thomas Steen,25,WIN,C,78,17,47,64,-29,76,3.0,12,2,3,1,32,14,1,195,8.7,,,steenth01
552,Scott Stevens*,21,WSH,D,73,15,38,53,0,165,7.5,12,3,0,2,27,10,1,121,12.4,,,stevesc01
553,Allan Stewart,22,NJD,LW,4,0,0,0,-1,21,-0.1,0,0,0,0,0,0,0,0,,,,stewaal01
554,Bill Stewart,28,MNS,D,8,0,2,2,2,13,0.5,0,0,0,0,2,0,0,3,0.0,,,stewabi01
555,Ryan Stewart,18,WIN,RW,3,1,0,1,0,0,0.1,1,0,0,0,0,0,0,5,20.0,,,stewary01
